Player,Team,G,GS,QS,IP,K,HLD,SV,ERA,WHIP
T.J. McFarland,ARI,49,0,0,70,38,3,0,3.34,1.33
Collin McHugh,HOU,39,10,4,89,97,14,0,3.13,1.17
Adalberto Mejia,MIN,19,19,7,97,84,0,0,3.53,1.32
Mark Melancon,SF,44,0,0,41,36,16,2,3.07,1.37
Yohander Mendez,TEX,16,16,3,84,71,0,0,4.07,1.27
Daniel Mengden,OAK,21,21,7,126,86,0,0,4.21,1.17
Miles Mikolas,STL,32,32,17,191,147,0,0,3.53,1.19
Wade Miley,HOU,24,24,9,120,95,0,0,4.57,1.49
Andrew Miller,STL,49,0,0,50,75,22,3,2.52,1
Justin Miller,WAS,53,0,0,55,62,20,2,4.25,1.25
Mike Minor,TEX,30,30,11,170,140,0,0,4.13,1.09
A.J. Minter,ATL,66,0,0,62,71,17,10,2.47,1.15
Bryan Mitchell,SD,23,10,3,77,40,0,0,5.38,1.73
Frankie Montas,OAK,18,16,6,91,50,0,0,4.35,1.35
Mike Montgomery,CHC,42,15,6,122,92,0,0,3.61,1.29
Matt Moore,DET,35,22,0,142,122,0,0,5.64,1.52
Brandon Morrow,CHC,43,0,0,39,40,4,14,1.85,1.05
Charlie Morton,TB,27,27,16,154,171,0,0,3.51,1.21
Joe Musgrove,PIT,26,26,13,157,145,0,0,3.9,1.2
Jimmy Nelson,MIL,23,23,14,133,116,0,0,4.33,1.43
Hector Neris,PHI,64,0,0,62,84,11,6,3.77,1.26
Pat Neshek,PHI,58,0,0,49,45,18,2,2.2,0.98
Sean Newcomb,ATL,30,30,15,162,168,0,0,3.94,1.36
Juan Nicasio,PHI,55,0,0,57,61,16,1,4.42,1.32
Aaron Nola,PHI,33,33,24,206,221,0,0,2.97,1.08
Daniel Norris,DET,18,15,6,81,79,0,0,5.11,1.53
Bud Norris,FA,62,0,0,59,69,15,5,3.81,1.29
Ivan Nova,CWS,30,30,14,170,122,0,0,4.18,1.27
Darren O'Day,ATL,37,0,0,35,45,11,1,3.6,1.11
Scott Oberg,COL,65,0,0,64,61,22,0,3.38,1.22
Jake Odorizzi,MIN,31,31,12,161,151,0,0,4.25,1.29
Seung Hwan Oh,COL,70,0,0,67,75,20,3,2.96,1.12
Roberto Osuna,HOU,64,0,0,63,69,0,37,2.57,0.92
Adam Ottavino,NYY,67,0,0,64,86,24,4,3.23,1.17
Blake Parker,MIN,72,0,0,70,79,11,12,3.09,1.11
James Paxton,NYY,27,27,13,159,191,0,0,3.68,1.14
James Pazos,PHI,65,0,0,48,53,14,0,3.38,1.21
Brad Peacock,HOU,52,10,4,98,128,12,0,3.21,1.18
Felix Pena,LAA,38,12,5,98,101,0,0,4.32,1.29
Freddy Peralta,MIL,21,19,9,104,136,0,0,3.98,1.23
Wily Peralta,KC,70,0,0,66,68,10,17,3.82,1.47
Yusmeiro Petit,OAK,63,0,0,87,80,14,0,3.1,1.02
Michael Pineda,MIN,20,20,10,114,109,0,0,4.58,1.31
Nick Pivetta,PHI,30,30,9,156,178,0,0,4.5,1.27
Drew Pomeranz,SF,22,22,6,107,112,0,0,4.79,1.52
Daniel Poncedeleon,STL,14,10,2,63,56,0,0,3.43,1.29
Rick Porcello,BOS,33,33,17,201,187,0,0,4.16,1.21
Ryan Pressly,HOU,70,0,0,69,82,19,1,3.39,1.16
David Price,BOS,31,31,19,182,182,0,0,3.66,1.27
Jose Quintana,CHC,32,32,18,185,178,0,0,3.89,1.26
Edubray Ramos,PHI,53,0,0,47,53,13,0,3.26,1.3
Robbie Ray,ARI,27,27,12,145,191,0,0,3.72,1.3
Addison Reed,MIN,67,0,0,66,63,13,0,3.41,1.2
Cody Reed,CIN,23,14,3,83,79,0,0,4.12,1.36
Alex Reyes,STL,29,14,2,103,98,0,0,3.58,1.31
Clayton Richard,TOR,30,26,13,156,111,0,0,4.96,1.46
Trevor Richards,MIA,30,30,12,161,167,0,0,4.08,1.26
